Slc17a7
Mgp
Gad1
Nov
Rasgrf2
Rorb
Cux2
Plcxd2
Sulf2
Ctgf
Pcp4
Sema3e
Npy
Sst
Pvalb
Vip
Calb2
Cck
Reln
Fos
Egr1
Prok2
Egr2
Bdnf
Gja1
Ctss
Mbp
Flt1
